Package,Malicious Versions
@adminide-stack/clock-tik-browser,12.0.24
@adminide-stack/yantra-mobile,12.0.33
@arv-bedrock/auth,"1.1.7, 1.1.8"
@arv-bedrock/auth-admin,"1.0.2, 1.0.3"
@arv-bedrock/auth-sso,"1.6.1, 1.6.2"
@arv-bedrock/auth-sso-backend,"1.7.1, 1.7.2"
@arv-bedrock/logger,"1.7.1, 1.7.2"
@cacheable/memory,2.2.1
@cacheable/net,2.1.1
@cacheable/node-cache,3.1.2
@cacheable/utils,2.5.1
@deliveroo/determinator,0.2.1
@deliveroo/reevent,1.0.1
@hubsync/web-sdk-react,"6.3.7, 6.3.8, 6.3.9, 6.3.10, 6.3.11, 6.3.12, 6.3.13, 6.3.14, 6.3.15, 6.3.16, 6.3.17, 6.3.18, 6.3.19, 6.3.20, 6.3.21, 6.3.22, 6.3.23, 6.3.24, 6.3.25, 6.3.26, 6.3.27, 6.3.28, 6.3.29, 6.3.30, 6.3.31, 6.3.32, 6.3.33"
@nebula.js/cli,7.1.2
@nebula.js/cli-build,7.1.2
@nebula.js/cli-sense,7.1.2
@nebula.js/locale,0.6.2
@nebula.js/nucleus,0.5.1
@nebula.js/sn-action-button,2.3.1
@nebula.js/sn-animator,2.13.1
@nebula.js/sn-distributionplot,1.0.7
@nebula.js/sn-layout-container,4.4.1
@nebula.js/sn-line-chart,2.7.1
@nebula.js/sn-listbox,0.19.3
@nebula.js/sn-map,0.12.7
@nebula.js/sn-nav-menu,0.14.2
@nebula.js/sn-org-chart,1.7.1
@nebula.js/sn-shape,1.5.1
@nebula.js/sn-slider,0.20.1
@nebula.js/sn-tabbed-container,2.4.1
@nebula.js/snapshooter,0.6.1
@nebula.js/stardust,7.1.2
@nebula.js/test-utils,0.6.1
@nebula.js/theme,0.6.1
@onereach/authorizer-helper,"0.0.11, 0.0.12, 0.0.13"
@onereach/bandwidth-steps-voice-bxml,"0.1.1, 0.1.2, 0.1.3"
@onereach/billing-dto,"27.2.1, 27.2.2, 27.2.3"
@onereach/billing-shared,"27.2.1, 27.2.2, 27.2.3"
@onereach/cb-schema-translator,"1.3.1, 1.3.2, 1.3.3"
@onereach/channel-transformer,"0.0.66, 0.0.67, 0.0.68"
@onereach/channel-transformers,"0.0.5, 0.0.6, 0.0.7"
@onereach/ckeditor5-build-classic,"30.0.1, 30.0.2, 30.0.3"
@onereach/condition-builder,"1.0.8, 1.0.9, 1.0.10"
@onereach/content-builder,"0.0.18, 0.0.19, 0.0.20"
@onereach/content-builder-template-compiler,"0.0.3, 0.0.4, 0.0.5"
